English	Swedish	POS	source	row
bridge, bridges	brygga, bryggan, bryggor	N	shorter-gf-termsEngSwe.tsv	195
brief	kort	N?	ICT-keywords-20141203.xlsx	327
bring	föra	N?	ICT-keywords-20141203.xlsx	328
British Standard Institution (BSI)		N?	ICT-keywords-20141203.xlsx	329
broad	bred	N?	ICT-keywords-20141203.xlsx	330
broadband	bredband	N?	ICT-keywords-20141203.xlsx	331
broadband access networks	bredbandsaccessnät	N?	ICT-keywords-20141203.xlsx	332
broadband technologies	bredbandsteknik	N?	ICT-keywords-20141203.xlsx	333
broadband wireless access (BWA)		N?	ICT-keywords-20141203.xlsx	334
broadcast TV	marksändningar TV	N?	ICT-keywords-20141203.xlsx	336
broadcast|s broadcasting broadcasters	sändning/sänder sändningsföretag	N?	ICT-keywords-20141203.xlsx	335
broken	bruten/trasig	N?	ICT-keywords-20141203.xlsx	337
broker	mäklare	N?	ICT-keywords-20141203.xlsx	338
broker, brokers	agent, agenten, agenter	N	shorter-gf-termsEngSwe.tsv	196
browse browsing	bläddra bläddring	N?	ICT-keywords-20141203.xlsx	339
browser	webbläsare	N?	ICT-keywords-20141203.xlsx	340
budget	budget/budgetera	N?	ICT-keywords-20141203.xlsx	342
Buffering 	Buffring/buffertlagring/mellanlagring	N?	ACM-klassificering-1998-en-sv.xls	494
buffer|s buffers buffered buffering	bufferten|buffertar buffert buffrad buffrande	N?	ICT-keywords-20141203.xlsx	343
bug tracker	felrapporteringssystem	N?	ICT-keywords-20141203.xlsx	344
bug, bugs	bugg, buggen, buggar	N	shorter-gf-termsEngSwe.tsv	197
bugs	buggar	N?	ICT-keywords-20141203.xlsx	345
build builds building buildings	bygga bygger bygga byggnader	N?	ICT-keywords-20141203.xlsx	346
build, builded, builded	 bygga, byggde, byggt	V	shorter-gf-termsEngSwe.tsv	198
built	byggd	N?	ICT-keywords-20141203.xlsx	347
built-in	inbyggd	N?	ICT-keywords-20141203.xlsx	348
Built-in tests [**] 	Inbyggda tester [**]	N?	ACM-klassificering-1998-en-sv.xls	107
Built-in tests [**] 	Inbyggda tester [**]	N?	ACM-klassificering-1998-en-sv.xls	129
Built-in tests [**] 	Inbyggda tester [**]	N?	ACM-klassificering-1998-en-sv.xls	146
Built-in tests [**] 	Inbyggda tester [**]	N?	ACM-klassificering-1998-en-sv.xls	177
Bulletin boards 		N?	ACM-klassificering-1998-en-sv.xls	921
bulletin, bulletins	rapport, rapporten, rapporter	N	shorter-gf-termsEngSwe.tsv	199
bunches	klasar	N?	ICT-keywords-20141203.xlsx	349
bundle|s bundled	bunta|r buntade	N?	ICT-keywords-20141203.xlsx	350
burst|s bursty	skur|ar skurvis	N?	ICT-keywords-20141203.xlsx	351
bus, bused, bused	 bussa, bussade, bussat	V	shorter-gf-termsEngSwe.tsv	201
bus, buses	buss, bussen, bussar	N	shorter-gf-termsEngSwe.tsv	200
Buses 	Bussar	N?	ACM-klassificering-1998-en-sv.xls	264
Business 	Näringsliv	N?	ACM-klassificering-1998-en-sv.xls	1290
business businesses	verksamheten företag	N?	ICT-keywords-20141203.xlsx	352
business information system, business information systems	affärsinformationssystem, affärsinformationssystemet, affärsinformationssystem	N	shorter-gf-termsEngSwe.tsv	203
business intelligence (BI)	omvärldsbevakning	N?	ICT-keywords-20141203.xlsx	353
business intelligence tool	omvärldsanalysverktyg	N?	ICT-keywords-20141203.xlsx	354
business model	affärsmodell	N?	ICT-keywords-20141203.xlsx	355
business model canvas (BMC)		N?	ICT-keywords-20141203.xlsx	356
business model ontology (BMO)	affärsmodell-ontologi	N?	ICT-keywords-20141203.xlsx	357
business models	affärsmodeller	N?	ICT-keywords-20141203.xlsx	358
business plan	affärsplan	N?	ICT-keywords-20141203.xlsx	359
business process	affärsprocess	N?	ICT-keywords-20141203.xlsx	360
business process modelling	modellering av affärsprocesser	N?	ICT-keywords-20141203.xlsx	361
Business Process Modelling Notation (BPMN)		N?	ICT-keywords-20141203.xlsx	362
business rules	affärsregler	N?	ICT-keywords-20141203.xlsx	363
business value	affärsvärde	N?	ICT-keywords-20141203.xlsx	364
business vocabulary	affärs ordförråd	N?	ICT-keywords-20141203.xlsx	365
business, businesses	företag, företaget, företag	N	shorter-gf-termsEngSwe.tsv	202
business-to-business (B2B)	B2B-företag	N?	ICT-keywords-20141203.xlsx	366
busy	upptagen 	N?	ICT-keywords-20141203.xlsx	367
busy hour call attempts (BHCA) traffic load	upptagen timmars samtal försök (BHCA) trafikbelastning	N?	ICT-keywords-20141203.xlsx	368
butter	smör	N?	ICT-keywords-20141203.xlsx	369
bypassing	förbikoppling	N?	ICT-keywords-20141203.xlsx	370
byte bytes	byte bytes	N?	ICT-keywords-20141203.xlsx	371
byte, bytes	byte, byten, bytes	N	shorter-gf-termsEngSwe.tsv	204
C-language	C-språk	N?	ICT-keywords-20141203.xlsx	461
cable, cables	kabel, kabeln, kablar	N	shorter-gf-termsEngSwe.tsv	205
cable|s	kabel|kablar	N?	ICT-keywords-20141203.xlsx	372
cache attack		N?	ICT-keywords-20141203.xlsx	374
Cache memories 	Cacheminnen	N?	ACM-klassificering-1998-en-sv.xls	66
cache memory, cache memories	cacheminne, cacheminnet, cacheminnen	N	shorter-gf-termsEngSwe.tsv	208
cache, cached, cached	 gömma, gömde, gömt	V	shorter-gf-termsEngSwe.tsv	207
cache, caches	cache, cachet, cachen	N	shorter-gf-termsEngSwe.tsv	206
cacheability		N?	ICT-keywords-20141203.xlsx	375
cache|s cached caching	cachen|cachar/mellanlagring cachad cachelagring	N?	ICT-keywords-20141203.xlsx	373
caching gain		N?	ICT-keywords-20141203.xlsx	376
calculate	beräkna	N?	ICT-keywords-20141203.xlsx	377
calculating time	beräkningsgång	N?	ICT-keywords-20141203.xlsx	378
calculation	kalkylering	N?	ICT-keywords-20141203.xlsx	379
calculation model	beräkningsmall	N?	ICT-keywords-20141203.xlsx	380
calculation process	kalkylprocessen	N?	ICT-keywords-20141203.xlsx	381
calculation, calculations	beräkning, beräkningen, beräkningar	N	shorter-gf-termsEngSwe.tsv	209
Calculator [**] 	Räknare [**]	N?	ACM-klassificering-1998-en-sv.xls	42
calculator, calculators	miniräknare, miniräknaren, miniräknare	N	shorter-gf-termsEngSwe.tsv	210
calculus, calculuss	analys, analysen, analyser	N	shorter-gf-termsEngSwe.tsv	211
calendar|s calendaring	kalender|kalendrar kalandrering	N?	ICT-keywords-20141203.xlsx	382
calibration	kalibrering	N?	ICT-keywords-20141203.xlsx	383
call called calling calls	 telefonera, ringa	N?	ICT-keywords-20141203.xlsx	384
call processing language	samtalsbearbetningsspråk	N?	ICT-keywords-20141203.xlsx	386
Call Processing Language (CPL)		N?	ICT-keywords-20141203.xlsx	387
call routing	samtalsdirigering	N?	ICT-keywords-20141203.xlsx	388
call, called, called	 kalla, kallade, kallat	V	shorter-gf-termsEngSwe.tsv	213
call, calls	krav, kravet, krav	N	shorter-gf-termsEngSwe.tsv	212
call-centre	call-center	N?	ICT-keywords-20141203.xlsx	389
callable	anropbar	N?	ICT-keywords-20141203.xlsx	385
caller callers	uppringande part/parter	N?	ICT-keywords-20141203.xlsx	390
Camera calibration  	Kamerakalibrering	N?	ACM-klassificering-1998-en-sv.xls	1150
camera, cameras	kamera, kameran, kameror	N	shorter-gf-termsEngSwe.tsv	214
camera|s	kamera|kameror	N?	ICT-keywords-20141203.xlsx	391
campus|capmuses	campus|campi	N?	ICT-keywords-20141203.xlsx	392
cancellation cancelling	annullering annullera	N?	ICT-keywords-20141203.xlsx	394
cancel|s	avboka/avbryter	N?	ICT-keywords-20141203.xlsx	393
candidate|s	kandidat|Kandidater	N?	ICT-keywords-20141203.xlsx	395
cannot	kan inte	N?	ICT-keywords-20141203.xlsx	397
Capability architectures [**] 	Kapabilitetsarkitekturer	N?	ACM-klassificering-1998-en-sv.xls	217
capability, capabilities	kompetens, kompetensen, kompetenser	N	shorter-gf-termsEngSwe.tsv	215
capable capabilities capability	kapabel kapacitet kapacitet	N?	ICT-keywords-20141203.xlsx	396
capacitor|s	kondensator|kondensatorer	N?	ICT-keywords-20141203.xlsx	398
capacity	kapacitet	N?	ICT-keywords-20141203.xlsx	399
capacity assessment	klassningsberäkning	N?	ICT-keywords-20141203.xlsx	400
capacity, capacities	kapacitet, kapaciteten, kapaciteter	N	shorter-gf-termsEngSwe.tsv	216
capsule, capsules	kapsel, kapseln, kapslar	N	shorter-gf-termsEngSwe.tsv	217
captcha, captchas	captcha, captchat, captchas	N	shorter-gf-termsEngSwe.tsv	218
capture, captured, captured	 fånga, fångade, fångat	V	shorter-gf-termsEngSwe.tsv	219
car	bil	N?	ICT-keywords-20141203.xlsx	401
card emulation	kortemulering	N?	ICT-keywords-20141203.xlsx	404
card reader, card readers	kortläsare, kortläsaren, kortläsare	N	shorter-gf-termsEngSwe.tsv	221
card sort	kort sortera	N?	ICT-keywords-20141203.xlsx	405
card, cards	kort, kortet, kort	N	shorter-gf-termsEngSwe.tsv	220
cardiovascular disease	hjärt-kärlsjukdom	N?	ICT-keywords-20141203.xlsx	406
card|s	kort	N?	ICT-keywords-20141203.xlsx	402
carefully	noggrant/försiktigt	N?	ICT-keywords-20141203.xlsx	403
carriage, carriages	vagn, vagnen, vagnar	N	shorter-gf-termsEngSwe.tsv	222
carrier carriers	nätgrossist/stamnätsoperatör/operatör	N?	ICT-keywords-20141203.xlsx	407
carrier cloud	operatörmoln	N?	ICT-keywords-20141203.xlsx	408
Carrier Ethernet	Operatör Ethernet	N?	ICT-keywords-20141203.xlsx	409
carrier, carriers	bärare, bäraren, bärare	N	shorter-gf-termsEngSwe.tsv	223
carry carrying carried	"bär/bära ""som bär""  genom/buren"	N?	ICT-keywords-20141203.xlsx	410
Cartography 	Kartografi	N?	ACM-klassificering-1998-en-sv.xls	1001
cartridge, cartridges	patron, patronen, patroner	N	shorter-gf-termsEngSwe.tsv	224
Cascading Style Sheets (CSS)		N?	ICT-keywords-20141203.xlsx	411
case cases	fall fallen	N?	ICT-keywords-20141203.xlsx	412
case study	fallstudie	N?	ICT-keywords-20141203.xlsx	413
cassette, cassettes	kassett, kassetten, kassetter	N	shorter-gf-termsEngSwe.tsv	225
categorical	kategorisk, kategoriskt	A	shorter-gf-termsEngSwe.tsv	226
category	kategori	N?	ICT-keywords-20141203.xlsx	414
category, categorys	kategori, kategorin, kategorier	N	shorter-gf-termsEngSwe.tsv	227
cathode, cathodes	katod, katoden, katoder	N	shorter-gf-termsEngSwe.tsv	228
cause causes causing	"orsaka orsaker ""som orsakar"""	N?	ICT-keywords-20141203.xlsx	415
cd, cds	cd, cdn, cds	N	shorter-gf-termsEngSwe.tsv	229
CD-ROM, CD-ROMs	CD-ROM, CD-ROMet, CD-ROM	N	shorter-gf-termsEngSwe.tsv	
cease|s	upphör/upphöra	N?	ICT-keywords-20141203.xlsx	416
cell cells	cell celler	N?	ICT-keywords-20141203.xlsx	417
cell, cells	cell, cellen, celler	N	shorter-gf-termsEngSwe.tsv	230
cellular	cellulär	N?	ICT-keywords-20141203.xlsx	418
Cellular architecture (e.g., mobile)  	Cellulär arkitektur (t.ex. mobil)	N?	ACM-klassificering-1998-en-sv.xls	218
Cellular arrays and automata 		N?	ACM-klassificering-1998-en-sv.xls	138
Censorship  	Censur	N?	ACM-klassificering-1998-en-sv.xls	1406
center (Am.) centre (British) centers	center centra	N?	ICT-keywords-20141203.xlsx	419
central centralized centralization	central centraliserad centralisering	N?	ICT-keywords-20141203.xlsx	420
central, centrals	central, centralen, centraler	N	shorter-gf-termsEngSwe.tsv	231
Centralization/decentralization 	Centralisering/decentralisering	N?	ACM-klassificering-1998-en-sv.xls	1435
Centralized networks [**] 	Centraliserade nät [**]	N?	ACM-klassificering-1998-en-sv.xls	238
centric	centrerad	N?	ICT-keywords-20141203.xlsx	421
century	århundrade	N?	ICT-keywords-20141203.xlsx	422
certain	viss	N?	ICT-keywords-20141203.xlsx	423
certificate authority (CA)	certifikatutfärdare	N?	ICT-keywords-20141203.xlsx	425
certificate certifies	certifikat intygar	N?	ICT-keywords-20141203.xlsx	424
Certification and testing 		N?	ACM-klassificering-1998-en-sv.xls	801
chain	kedja	N?	ICT-keywords-20141203.xlsx	426
chairman	ordförande	N?	ICT-keywords-20141203.xlsx	427
challenge challenges challenged	utmana/utmaning utmanar/utmaningar utmanade	N?	ICT-keywords-20141203.xlsx	428
challenge, challenged, challenged	 utmana, utmanade, utmanat	V	shorter-gf-termsEngSwe.tsv	233
challenge, challenges	utmaning, utmaningen, utmaningar	N	shorter-gf-termsEngSwe.tsv	232
chance|s	chans|chanser	N?	ICT-keywords-20141203.xlsx	429
change changes changing changed changeable	förändra/förändring förändra/förändringar föränderlig förändrade/förändrats föränderlig	N?	ICT-keywords-20141203.xlsx	430
change management	förändringsledning	N?	ICT-keywords-20141203.xlsx	431
change readiness	förändringsberedskap	N?	ICT-keywords-20141203.xlsx	432
change, changed, changed	 ändra, ändrade, ändrat	V	shorter-gf-termsEngSwe.tsv	234
changing projects	förändringsprojekt	N?	ICT-keywords-20141203.xlsx	433
channel, channels	kanal, kanalen, kanaler	N	shorter-gf-termsEngSwe.tsv	235
Channels and controllers 	Kanaler och kontrollenheter	N?	ACM-klassificering-1998-en-sv.xls	90
channel|s	kanal|er	N?	ICT-keywords-20141203.xlsx	434
chaos	kaos	N?	ICT-keywords-20141203.xlsx	436
Chaotic systems  		N?	ACM-klassificering-1998-en-sv.xls	734
chapter chapters	kapitlet kapitel	N?	ICT-keywords-20141203.xlsx	435
character, characters	karaktär, karaktären, karaktärer	N	shorter-gf-termsEngSwe.tsv	236
characteristic	karaktäristisk, karaktäristiskt	A	shorter-gf-termsEngSwe.tsv	237
characteristics	egenskaper	N?	ICT-keywords-20141203.xlsx	438
character|s	karaktär|tecken	N?	ICT-keywords-20141203.xlsx	437
charges charging charged	laddningar laddar laddade	N?	ICT-keywords-20141203.xlsx	439
charging/billing	fakturera	N?	ICT-keywords-20141203.xlsx	440
charms	charmar	N?	ICT-keywords-20141203.xlsx	441
charter charters	stadgan stadgar	N?	ICT-keywords-20141203.xlsx	442
chat, chats	prat, pratet, prat	N	shorter-gf-termsEngSwe.tsv	238
chat, chatted, chatted	 chatta, chattade, chattat	V	shorter-gf-termsEngSwe.tsv	239
cheap cheaper	billig billigare	N?	ICT-keywords-20141203.xlsx	443
cheating	fusk	N?	ICT-keywords-20141203.xlsx	444
Chebyshev approximation and theory 		N?	ACM-klassificering-1998-en-sv.xls	682
check checks checked checking	kontrollera kontroller kontrolleras kontroll	N?	ICT-keywords-20141203.xlsx	445
check, checked, checked	 kontrollera, kontrollerade, kontrollerat	V	shorter-gf-termsEngSwe.tsv	241
check, checks	test, testen, tester	N	shorter-gf-termsEngSwe.tsv	240
Checkpoint/restart 	Kontrollstation/återstart	N?	ACM-klassificering-1998-en-sv.xls	501
Chemistry 	Kemi	N?	ACM-klassificering-1998-en-sv.xls	1302
chief	högsta, högsta	A	shorter-gf-termsEngSwe.tsv	242
chief, chiefs	ledare, ledaren, ledare	N	shorter-gf-termsEngSwe.tsv	243
child, children	barn, barnet, barn	N	shorter-gf-termsEngSwe.tsv	244
children	barn	N?	ICT-keywords-20141203.xlsx	446
chip, chips	chip, chipet, chips	N	shorter-gf-termsEngSwe.tsv	245
chipset|s	kretsuppsättning|kretsuppsättningar	N?	ICT-keywords-20141203.xlsx	448
chip|s	chip	N?	ICT-keywords-20141203.xlsx	447
choice	val	N?	ICT-keywords-20141203.xlsx	449
choose|s chosen	välja/väljer valda	N?	ICT-keywords-20141203.xlsx	450
chrome, chromes	chrome, chromeet, chrome	N	shorter-gf-termsEngSwe.tsv	246
cipher ciphering	chiffer chiffre	N?	ICT-keywords-20141203.xlsx	451
cipher, ciphers	skiffer, skiffret, skiffer	N	shorter-gf-termsEngSwe.tsv	247
circuit circuitry	krets kretsar	N?	ICT-keywords-20141203.xlsx	452
circuit structure, circuit structures	kretsstruktur, kretsstrukturen, kretsstrukturer	N	shorter-gf-termsEngSwe.tsv	249
circuit, circuits	krets, kretsen, kretsar	N	shorter-gf-termsEngSwe.tsv	248
circuit-switched	kretskopplat	N?	ICT-keywords-20141203.xlsx	453
Circuit-switching networks 	Kretskopplade nät	N?	ACM-klassificering-1998-en-sv.xls	239
circular	cirkulär	N?	ICT-keywords-20141203.xlsx	454
circumstances	omständigheter	N?	ICT-keywords-20141203.xlsx	455
cisco, ciscoes	cisco, ciscoet, cisco	N	shorter-gf-termsEngSwe.tsv	250
citation	citering	N?	ICT-keywords-20141203.xlsx	456
cities	städer	N?	ICT-keywords-20141203.xlsx	457
city tour	stadstur	N?	ICT-keywords-20141203.xlsx	458
city-wide	stadsomfattande	N?	ICT-keywords-20141203.xlsx	459
civil	civila/medborgerlig	N?	ICT-keywords-20141203.xlsx	460
claim claims claimed	kräva/krav kräver/kraven hävdade	N?	ICT-keywords-20141203.xlsx	462
class attendance	klassnärvaro	N?	ICT-keywords-20141203.xlsx	463
class classes	klass klasser	N?	ICT-keywords-20141203.xlsx	464
class D amplifier	Klass D-förstärkare	N?	ICT-keywords-20141203.xlsx	465
class diagram, class diagrams	klassmodell, klassmodellen, klassmodeller	N	shorter-gf-termsEngSwe.tsv	252
Class invariants  		N?	ACM-klassificering-1998-en-sv.xls	347
class, classs	klass, klassen, klasser	N	shorter-gf-termsEngSwe.tsv	251
Classes and objects  	Klasser och objekt	N?	ACM-klassificering-1998-en-sv.xls	438
Classes defined by grammars or automata (e.g., context-free languages, regular sets, recursive sets) 		N?	ACM-klassificering-1998-en-sv.xls	656
Classes defined by resource-bounded automata [**] 		N?	ACM-klassificering-1998-en-sv.xls	657
classification, classifications	klassificering, klassificeringen, klassificeringar	N	shorter-gf-termsEngSwe.tsv	253
Classifier design and evaluation 	Design och utvärdering av klassificerare	N?	ACM-klassificering-1998-en-sv.xls	1220
classifier, classifiers	klassificerare, klassificeraren, klassificerare	N	shorter-gf-termsEngSwe.tsv	254
classify classifies	klassificera klassificerar	N?	ICT-keywords-20141203.xlsx	466
classless	klasslös, klasslöst	A	shorter-gf-termsEngSwe.tsv	255
classroom, classrooms	klassrum, klassrummet, klassrum	N	shorter-gf-termsEngSwe.tsv	256
clear clears clearly	klara rensar klart	N?	ICT-keywords-20141203.xlsx	467
click, clicked, clicked	 klicka, klickade, klickat	V	shorter-gf-termsEngSwe.tsv	257
client, clients	klient, klienten, klienter	N	shorter-gf-termsEngSwe.tsv	258
Client/server  	Klient-server	N?	ACM-klassificering-1998-en-sv.xls	258
client/server programming	klient/server-programmering	N?	ICT-keywords-20141203.xlsx	469
client|s	klient|er	N?	ICT-keywords-20141203.xlsx	468
clinical decision support system	kliniska beslutsstödssystem	N?	ICT-keywords-20141203.xlsx	470
clinical information	klinisk information	N?	ICT-keywords-20141203.xlsx	471
clock, clocked, clocked	 klocka, klockade, klockat	V	shorter-gf-termsEngSwe.tsv	260
clock, clocks	klocka, klockan, klockor	N	shorter-gf-termsEngSwe.tsv	259
clock|s clocking	klocka|klockor klockning	N?	ICT-keywords-20141203.xlsx	472
clone	klon	N?	ICT-keywords-20141203.xlsx	473
close closed	stäng/klara stängd	N?	ICT-keywords-20141203.xlsx	474
close, closed, closed	 stänga, stängde, stängt	V	shorter-gf-termsEngSwe.tsv	261
closure, closures	stängning, stängningen, stängningar	N	shorter-gf-termsEngSwe.tsv	262
cloud computing	datormoln/databehandling i molnet	N?	ICT-keywords-20141203.xlsx	476
cloud computing, cloud computings	datormoln, datormolnen, datormolnar	N	shorter-gf-termsEngSwe.tsv	264
cloud data center	moln datacenter	N?	ICT-keywords-20141203.xlsx	477
Cloud Data Management Interface (CDMI)		N?	ICT-keywords-20141203.xlsx	478
cloud ERP	moln ERP	N?	ICT-keywords-20141203.xlsx	479
cloud LSA	moln LSA	N?	ICT-keywords-20141203.xlsx	480
cloud management system	molnhanteringssystem	N?	ICT-keywords-20141203.xlsx	481
cloud networks	molnnätverk	N?	ICT-keywords-20141203.xlsx	482
cloud service provider (CSP)	moln-tjänsteleverantör	N?	ICT-keywords-20141203.xlsx	483
cloud service type	typ av molntjänst	N?	ICT-keywords-20141203.xlsx	484
cloud service/cloud services	molntjänst/molntjänster	N?	ICT-keywords-20141203.xlsx	485
cloud, clouds	moln, molnet, moln	N	shorter-gf-termsEngSwe.tsv	263
cloud|s	molnet|moln	N?	ICT-keywords-20141203.xlsx	475
cluster head	klusterhuvud	N?	ICT-keywords-20141203.xlsx	487
cluster, clusters	kluster, klustret, kluster	N	shorter-gf-termsEngSwe.tsv	265
Clustering 	Klustring	N?	ACM-klassificering-1998-en-sv.xls	880
Clustering 	Klustring/Gruppering	N?	ACM-klassificering-1998-en-sv.xls	1223
cluster|s clustered clustering	"kluster/""samlas i klunga"" kluster klustrade klustring"	N?	ICT-keywords-20141203.xlsx	486
co-correlation	sam-korrelation	N?	ICT-keywords-20141203.xlsx	660
co-located	samlokaliserade	N?	ICT-keywords-20141203.xlsx	502
co-precipitation	samutfällning	N?	ICT-keywords-20141203.xlsx	661
Code breaking  	Kodknäckning	N?	ACM-klassificering-1998-en-sv.xls	552
code development tool, code development tools	kodutvecklingsverktyg, kodutvecklingsverktyget, kodutvecklingsverktyg	N	shorter-gf-termsEngSwe.tsv	268
Code generation 	Kodgenerering	N?	ACM-klassificering-1998-en-sv.xls	454
code generator, code generators	kodgenerator, kodgeneratorn, kodgeneratorer	N	shorter-gf-termsEngSwe.tsv	269
Code inspections and walk-throughs 	Kodgranskningar och genomgångar	N?	ACM-klassificering-1998-en-sv.xls	356
code, coded, coded	 koda, kodade, kodat	V	shorter-gf-termsEngSwe.tsv	267
code, codes	kod, koden, koder	N	shorter-gf-termsEngSwe.tsv	266
coder/decoder (CODEC)	kodare / avkodare	N?	ICT-keywords-20141203.xlsx	488
codes coded coding	koder kodade kodning	N?	ICT-keywords-20141203.xlsx	489
Codes of ethics  	Etiska regler	N?	ACM-klassificering-1998-en-sv.xls	1453
Codes of good practice  	God sed	N?	ACM-klassificering-1998-en-sv.xls	1454
Codes of good practice [**] 	God sed	N?	ACM-klassificering-1998-en-sv.xls	1457
CODING AND INFORMATION THEORY (H.1.1) 	Kodning och informationsteori (H.1.1)	N?	ACM-klassificering-1998-en-sv.xls	556
coding theory, coding theories	kodningsteori, kodningsteorien, kodningsteorier	N	shorter-gf-termsEngSwe.tsv	270
Coding Tools and Techniques  	Kodningsverktyg och kodningstekniker	N?	ACM-klassificering-1998-en-sv.xls	337
coexistence	samexistens	N?	ICT-keywords-20141203.xlsx	490
coffee	kaffe	N?	ICT-keywords-20141203.xlsx	491
cognition	kognition	N?	ICT-keywords-20141203.xlsx	492
cognitive radio	kognitiv radio	N?	ICT-keywords-20141203.xlsx	493
cognitive science, cognitive sciences	kognitionsvetenskap, kognitionsvetenskapen, kognitionsvetenskaper	N	shorter-gf-termsEngSwe.tsv	271
Cognitive simulation 	Kognitiv simulering	N?	ACM-klassificering-1998-en-sv.xls	998
cognitive workload	kognitiv belastning	N?	ICT-keywords-20141203.xlsx	494
Coherence and coordination 	Koherens och koordination	N?	ACM-klassificering-1998-en-sv.xls	1080
coherency, coherencies	sammanhang, sammanhanget, sammanhang	N	shorter-gf-termsEngSwe.tsv	272
coherent receiver	koherent mottagare	N?	ICT-keywords-20141203.xlsx	495
collaboration	samarbete/utökad samverkan	N?	ICT-keywords-20141203.xlsx	496
Collaborative computing  		N?	ACM-klassificering-1998-en-sv.xls	958
collaborative filtering	collaborative filtrerings	N?	ICT-keywords-20141203.xlsx	497
Collaborative learning  		N?	ACM-klassificering-1998-en-sv.xls	1353
colleagues	kollegor	N?	ICT-keywords-20141203.xlsx	498
collect collects collecting collected collecting	samla samlar samla uppsamlades uppsamling/samlande	N?	ICT-keywords-20141203.xlsx	499
Collection  		N?	ACM-klassificering-1998-en-sv.xls	901
collection collections	insamlings samlingar	N?	ICT-keywords-20141203.xlsx	500
collection, collections	samling, samlingen, samlingar	N	shorter-gf-termsEngSwe.tsv	273
collision collide 	kollision kolliderar	N?	ICT-keywords-20141203.xlsx	501
collision, collisions	kollision, kollisionen, kollisioner	N	shorter-gf-termsEngSwe.tsv	274
Color  	Färg	N?	ACM-klassificering-1998-en-sv.xls	1189
color model	färgmodell	N?	ICT-keywords-20141203.xlsx	503
Color, shading, shadowing, and texture 	Färg, fyllning, skuggning och textur	N?	ACM-klassificering-1998-en-sv.xls	1136
colour, colours	färg, färgen, färger	N	shorter-gf-termsEngSwe.tsv	275
column, columns	kolumn, kolumnen, kolumner	N	shorter-gf-termsEngSwe.tsv	276
combat	strid/bekämpa	N?	ICT-keywords-20141203.xlsx	504
Combinational logic 	Kombinatorisk logik	N?	ACM-klassificering-1998-en-sv.xls	139
combinatorial	kombinatorisk, kombinatoriskt	A	shorter-gf-termsEngSwe.tsv	277
Combinatorial algorithms 		N?	ACM-klassificering-1998-en-sv.xls	766
Combinatorics (F.2) 		N?	ACM-klassificering-1998-en-sv.xls	765
combine combines combining combination combinations  combined	kombinera Kombinerar kombinera kombination kombinationer  kombineras	N?	ICT-keywords-20141203.xlsx	505
Combined 	Kombinerad/Samverkande	N?	ACM-klassificering-1998-en-sv.xls	1251
come comes coming	komma kommer kommande	N?	ICT-keywords-20141203.xlsx	506
comfort	komfort	N?	ICT-keywords-20141203.xlsx	507
comma, commas	komma, kommat, komman	N	shorter-gf-termsEngSwe.tsv	278
Command and control 	Stridsledning	N?	ACM-klassificering-1998-en-sv.xls	1329
Command and control languages 	Kommandospråk och styrspråk	N?	ACM-klassificering-1998-en-sv.xls	527
command, commanded, commanded	 kräva, krävde, krävt	V	shorter-gf-termsEngSwe.tsv	280
command, commands	kommando, kommandot, kommandon	N	shorter-gf-termsEngSwe.tsv	279
command-line interpreter, command-line interpreters	kommandotolk, kommandotolken, kommandotolkar	N	shorter-gf-termsEngSwe.tsv	281
command|s	kommando|n	N?	ICT-keywords-20141203.xlsx	508
comment	kommentar	N?	ICT-keywords-20141203.xlsx	509
comment, comments	kommentar, kommentaren, kommentarer	N	shorter-gf-termsEngSwe.tsv	282
commerce	handel	N?	ICT-keywords-20141203.xlsx	510
commercial	kommersiell, kommersiellt	A	shorter-gf-termsEngSwe.tsv	283
commercial 	kommersiell	N?	ICT-keywords-20141203.xlsx	511
commercial activity	kommersiellverksamhet	N?	ICT-keywords-20141203.xlsx	512
Commercial robots and applications  	Kommersiella robotar och tillämpningar	N?	ACM-klassificering-1998-en-sv.xls	1061
Commercial services  		N?	ACM-klassificering-1998-en-sv.xls	895
commercial, commercials	reklamfilm, reklamfilmen, reklamfilmer	N	shorter-gf-termsEngSwe.tsv	284
commercialization plan	kommersialisering planen	N?	ICT-keywords-20141203.xlsx	513
commission	kommission	N?	ICT-keywords-20141203.xlsx	514
commission, commissions	kommission, kommissionen, kommissioner	N	shorter-gf-termsEngSwe.tsv	285
commit	begå/överlämna	N?	ICT-keywords-20141203.xlsx	515
commitment	åtagande/engagemang	N?	ICT-keywords-20141203.xlsx	516
committee|s	utskott|kommittéer	N?	ICT-keywords-20141203.xlsx	517
common	vanlig, vanligt	A	shorter-gf-termsEngSwe.tsv	286
common commonality	gemensam gemensamhet	N?	ICT-keywords-20141203.xlsx	518
Common Gateway Interface (CGI)		N?	ICT-keywords-20141203.xlsx	519
communicate, communicated, communicated	 kommunicera, kommunicerade, kommunicerat	V	shorter-gf-termsEngSwe.tsv	287
communication communications communicate communicating   communicator	kommunikation kommunikationer kommunicera kommunicerar kommunikatör	N?	ICT-keywords-20141203.xlsx	520
communication system, communication systems	kommunikationssystem, kommunikationssystemet, kommunikationssystem	N	shorter-gf-termsEngSwe.tsv	289
communication, communications	kommunikation, kommunikationen, kommunikationer	N	shorter-gf-termsEngSwe.tsv	288
